time,values
2020-03-01,110.47
2020-04-01,110.76
2020-05-01,110.77
2020-06-01,110.78
2020-07-01,110.95
2020-08-01,110.93
2020-09-01,110.53
2020-10-01,110.67
2020-11-01,110.7
2020-12-01,111.32
2021-01-01,112.29
2021-02-01,112.76
2021-03-01,113.23
2021-04-01,113.7
2021-05-01,114.34
2021-06-01,114.62
2021-07-01,115.15
2021-08-01,115.35
2021-09-01,116.31
2021-10-01,117.85
2021-11-01,118.15
2021-12-01,118.76
2022-01-01,120.42
2022-02-01,121.68
2022-03-01,124.05
2022-04-01,127.0
2022-05-01,128.55
2022-06-01,129.55
2022-07-01,130.14
2022-08-01,130.72
2022-09-01,131.94
2022-10-01,133.72
2022-11-01,135.39
2022-12-01,135.55
2023-01-01,136.61
2023-02-01,137.95
2023-03-01,139.13
2023-04-01,140.21
2023-05-01,140.89
2023-06-01,141.55
2023-07-01,141.76
2023-08-01,142.86
2023-09-01,144.04
2023-10-01,144.87
2023-11-01,144.72
2023-12-01,145.05
2024-01-01,146.64
2024-02-01,147.78
2024-03-01,148.44
2024-04-01,148.97
2024-05-01,149.02
2024-06-01,149.11
2024-07-01,149.98
2024-08-01,150.4
2024-09-01,151.01
2024-10-01,152.08
2024-11-01,152.57
2024-12-01,152.96
2025-01-01,154.38
2025-02-01,155.44
2025-03-01,155.97
2025-04-01,156.29
2025-05-01,157.06
2025-06-01,157.74
2025-07-01,159.86
2025-08-01,163.21
2025-09-01,164.02
2025-10-01,164.92
2025-11-01,165.73
2025-12-01,166.1
